ticket_text,category,priority,status,reply
I was charged for an item I did not purchase,Billing,High,Pending,
My order did not include the free gift,Shipping,Medium,Pending,
The product is not working as expected,Complaint,High,Pending,
My internet service is intermittent,Technical,High,Pending,
I need to update my credit card information,Billing,Medium,Pending,
My package was delayed due to courier issue,Shipping,Medium,Pending,
The app does not show recent orders,Technical,Medium,Pending,
I want to cancel my last order,Billing,Medium,Pending,
My delivery contains wrong items,Shipping,High,Pending,
The product stopped working after first use,Complaint,High,Pending,
My account login fails frequently,Technical,High,Pending,
I was charged for the subscription even after cancellation,Billing,High,Pending,
My shipment is lost,Shipping,High,Pending,
The customer support was rude,Complaint,Medium,Pending,
My app crashes on login,Technical,High,Pending,
I want to update my billing address,Billing,Medium,Pending,
My package arrived incomplete,Shipping,High,Pending,
The product is scratched,Complaint,Medium,Pending,
My Wi-Fi router is not connecting,Technical,High,Pending,
I want to change my payment plan,Billing,Medium,Pending,
My order has not shipped yet,Shipping,Medium,Pending,
The product does not match the description,Complaint,Medium,Pending,
My app shows blank screen sometimes,Technical,Medium,Pending,
I was charged for extra service,Billing,High,Pending,
My delivery was sent to wrong location,Shipping,High,Pending,
The product arrived late,Complaint,Medium,Pending,
My internet modem is not working,Technical,High,Pending,
I need to add a new payment method,Billing,Medium,Pending,
My order tracking is incorrect,Shipping,Medium,Pending,
The product stopped working after a week,Complaint,High,Pending,
My app crashes when I click checkout,Technical,High,Pending,
I want a refund for damaged product,Billing,High,Pending,
My package was missing parts,Shipping,High,Pending,
The support agent was not helpful,Complaint,Medium,Pending,
My Wi-Fi keeps disconnecting,Technical,High,Pending,
I want to update my subscription plan,Billing,Medium,Pending,
My order was delayed by courier,Shipping,Medium,Pending,
The product arrived with scratches,Complaint,Medium,Pending,
My internet keeps dropping,Technical,High,Pending,
I was billed incorrectly,Billing,High,Pending,
My shipment is late,Shipping,Medium,Pending,
The product does not function properly,Complaint,High,Pending,
My app freezes when adding payment,Technical,High,Pending,
I want to cancel my subscription immediately,Billing,High,Pending,
My order contains wrong items,Shipping,High,Pending,
The delivered product is defective,Complaint,High,Pending,
My modem stops working randomly,Technical,High,Pending,
I need to change my billing info,Billing,Medium,Pending,
My package never arrived,Shipping,High,Pending,
The product quality is poor,Complaint,High,Pending,
My app does not load,Technical,Medium,Pending,
I was charged extra for shipping,Billing,High,Pending,
My delivery was sent late,Shipping,Medium,Pending,
The product was missing pieces,Complaint,Medium,Pending,
My Wi-Fi is very slow,Technical,High,Pending,
I want to dispute the last charge,Billing,High,Pending,
My package is missing items,Shipping,High,Pending,
The support team did not resolve my issue,Complaint,Medium,Pending,
My internet stops working during calls,Technical,High,Pending,
I need to update my payment card,Billing,Medium,Pending,
My order tracking shows wrong status,Shipping,Medium,Pending,
The product arrived broken,Complaint,High,Pending,
My app crashes on checkout page,Technical,High,Pending,
I want a refund for late delivery,Billing,High,Pending,
My delivery contains defective items,Shipping,High,Pending,
The customer service was unhelpful,Complaint,Medium,Pending,
My router disconnects frequently,Technical,High,Pending,
I need to update subscription details,Billing,Medium,Pending,
My package was delayed by one week,Shipping,Medium,Pending,
The product is missing accessories,Complaint,Medium,Pending,
My internet is not stable,Technical,High,Pending,
I was charged twice for my subscription,Billing,High,Pending,
My shipment never arrived,Shipping,High,Pending,
The product stopped functioning,Complaint,High,Pending,
My app freezes when opening settings,Technical,High,Pending,
I want to cancel my order,Billing,Medium,Pending,
My delivery has missing items,Shipping,High,Pending,
The product is scratched and damaged,Complaint,High,Pending,
My internet keeps dropping frequently,Technical,High,Pending,
I need to change billing method,Billing,Medium,Pending,
My package was sent to wrong address,Shipping,High,Pending,
The product is faulty,Complaint,High,Pending,
My Wi-Fi connection is unstable,Technical,High,Pending,
I want to update my credit card info,Billing,Medium,Pending,
My order is incomplete,Shipping,Medium,Pending,
The support staff was not responsive,Complaint,Medium,Pending,
My router does not connect to internet,Technical,High,Pending,
I was charged incorrectly,Billing,High,Pending,
My delivery arrived late,Shipping,Medium,Pending,
The product arrived defective,Complaint,High,Pending,
My app crashes randomly,Technical,High,Pending,
I want to refund my order,Billing,High,Pending,
My package has missing parts,Shipping,High,Pending,
The customer support did not help,Complaint,Medium,Pending,
My internet service is very slow,Technical,High,Pending,
I need to update my billing info,Billing,Medium,Pending,
My shipment tracking is delayed,Shipping,Medium,Pending,
The product quality is not good,Complaint,High,Pending,
My Wi-Fi modem is not working properly,Technical,High,Pending,
I was billed extra for my last order,Billing,High,Pending,
My package was sent to wrong location,Shipping,High,Pending,
The product stopped working after first use,Complaint,High,Pending,
My app crashes frequently,Technical,High,Pending,
I want to cancel subscription,Billing,Medium,Pending,
My delivery contains wrong items,Shipping,High,Pending,
The product arrived broken,Complaint,High,Pending,
My internet disconnects randomly,Technical,High,Pending,
I need to add a new payment method,Billing,Medium,Pending,
My order was delayed by courier,Shipping,Medium,Pending,
The product is defective,Complaint,High,Pending,
My router stops working occasionally,Technical,High,Pending,
I was charged incorrectly for subscription,Billing,High,Pending,
My shipment is missing items,Shipping,High,Pending,
The support agent did not solve my issue,Complaint,Medium,Pending,
My Wi-Fi is unstable,Technical,High,Pending,
I want to update subscription plan,Billing,Medium,Pending,
My package arrived damaged,Shipping,High,Pending,
The product has scratches,Complaint,Medium,Pending,
My internet keeps dropping intermittently,Technical,High,Pending,
I need to change my billing card,Billing,Medium,Pending,
My order did not arrive,Shipping,High,Pending,
The product is faulty and unusable,Complaint,High,Pending,
My app freezes during payment,Technical,High,Pending,
I want a refund for defective product,Billing,High,Pending,
My delivery is incomplete,Shipping,High,Pending,
The customer support was not helpful,Complaint,Medium,Pending,
